"Timestamp","Industry segment","Your primary role","Which programming languages do you currently use or have used in the past for microcontroller projects?","What ratio of your embedded codebase is in C/C++?","Real‑time performance","Debugging microcontroller programs","Integration with legacy code","Interacting with hardware","Memory constraints (binary size, RAM/flash usage)","Memory vulnerabilities (e.g. use after free, buffer overflows)","Power consumption management","Safety certification (e.g. IEC 61508, ISO 26262)","Tooling complexity (e.g. build system)","Availability of libraries","Interoperability with C code","Maturity of compiler/toolchain","Real-time performance","Safety of memory management","Strong community support","Team expertise and training cost","Tooling features and usability (e.g. build system)","Have you ever used any “modern” language (e.g. Rust, Zig) for embedded development?","If not, what barriers prevent you?","How likely are you to adopt any “modern” language in the next 12 months?","Rate your satisfaction with the build system for C/C++ that you use for embedded projects.","How much do you rely on C/C++ static analysis tools for microcontroller code? (e.g. clang-tidy, MISRA checkers)","Rate your satisfaction with C/C++ static analysis tools for microcontroller code.","Can you think of any language or tooling features would most help your embedded development?","Any additional comments?"
"2025/05/14 1:22:59 am EEST","Consumer electronics;IoT / Edge Computing","Software engineer","C","7","3","5","3","4","5","2","4","1","2","5","5","5","5","3","4","5","4","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity","2","4","4","4","",""
"2025/05/14 1:25:45 am EEST","Silicon photonics and lasers","Software engineer","C;Python / MicroPython","9","4","2","1","1","2","1","1","1","3","4","3","5","4","2","1","5","4","No","Lack of mature toolchain;Team unfamiliarity","2","4","1","3","Good stack frame introspection, integrated memory guards",""
"2025/05/14 1:53:08 am EEST","Medical devices","Software engineer","C;C++","10","5","3","4","2","2","1","1","1","3","4","1","3","5","3","2","4","3","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Team unfamiliarity","4","2","1","","",""
"2025/05/14 2:04:31 am EEST","Consumer electronics;Medical devices","Software engineer","C;C++;Rust;berry","9","2","4","2","5","2","4","2","5","2","5","3","4","3","2","3","4","4","No","Difficulty of integrating into existing codebase;Lack of mature toolchain;Team unfamiliarity","3","1","5","1","robust build system that is integrated with the language, smarter static analysis, compile-time execution",""
"2025/05/14 2:43:43 am EEST","Consumer electronics;IoT / Edge Computing","Software engineer","Assembly;C;C++;Java / Micronaut;scheme, forth, Dylan","9","3","2","4","4","4","1","3","1","3","3","5","4","4","2","4","2","3","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Insufficient libraries/driver support;code size, compilation time (Rust), obstacles to breaking abstraction layers, lack of code portability across 8/16/32/64 bit and older or non-mainstream ISAs, coding speed","2","4","1","","My embedded development ranges across things with 128 bytes of RAM, 2k (very common), a few hundred KB (where I find C+Boehm GC is an excellent safe solution, but still easily able to avoid allocation/collection in time-critical parts), and on up to embedded Linux. Maybe the biggest thing a tool could do that I don't have now would be automatic extraction of common code sequences, not necessarily into ABI-compliant functions but just raw JAL/RET snippets -- especially using x5 on RISC-V (or equivalent) or Zcmt (not yet in shipping chips). On some machines a seamless ability to compile critical code to native code but most to a more compact bytecode/token form would be very useful -- I've never seen one that beats Thumb2 or RISC-V (especially with the Zb*/Zc* extensions implemented in Hazard3) but 8 bit ISAs are generally easily beaten (especially for code handling larger data items), as are arm64 and i386/x86_64. Small size of the interpreter is also critical, as is easy switching to/from native. A modern take on SWEET16 might be interesting, or a cross between that and the integer part of Transputer. Or a recoding of a simple 2-address 16 bit opcode RISC(ish) similar to PDP11, MSP430, or SH for easier software decoding might be best e.g. src and dst register fields in the same place in the hi and lo bytes of the instruction and offset by log2(wordSz/8) bits so a simple masking leaves them ready to index into a ""register"" array. Sorry, rambling. Obviously a compiler back end would be needed.",""
"2025/05/14 2:44:53 am EEST","Aerospace","Software engineer","C;C++","10","5","3","5","3","2","2","2","5","3","2","4","4","4","3","1","2","4","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Lack of mature toolchain","1","5","2","2","",""
"2025/05/14 2:55:09 am EEST","Aerospace","Software engineer","Assembly;C;C++;Java / Micronaut;Python / MicroPython","7","4","4","4","4","2","2","2","2","3","3","4","4","4","2","4","4","5","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Team unfamiliarity","2","4","3","3","",""
"2025/05/14 3:17:11 am EEST","Consumer electronics","System architect","C","10","4","2","1","1","2","1","1","1","1","1","1","5","5","1","1","1","5","No","Both are terrible languages with horrific syntax","1","5","1","","",""
"2025/05/14 3:27:53 am EEST","Defense","Hardware engineer","Assembly;C","10","5","3","1","5","1","1","1","5","3","1","3","4","5","1","1","3","4","No","Irrelevance","1","5","4","3","No","/"
"2025/05/14 4:09:45 am EEST","Stage lighting equipment","all of the above","Assembly;C;C++","10","3","3","1","2","2","1","1","2","2","2","1","1","1","1","1","3","2","No","doesn't seem worth the effort for most of our needs","2","3","2","2","",""
"2025/05/14 4:58:09 am EEST","Industrial automation;test and measurements","Software engineer","Assembly;C","8","5","2","1","5","1","1","2","1","1","1","1","3","5","1","1","1","3","No","No need for such language in the workflow","1","5","1","3","I wish Vivado worked faster.",""
"2025/05/14 5:50:05 am EEST","Consumer electronics","Software engineer","C;Python / MicroPython","10","3","1","1","3","4","1","5","3","1","1","5","5","3","1","1","3","1","No","Insufficient libraries/driver support;Lack of mature toolchain;C works","1","5","3","4","",""
"2025/05/14 6:04:43 am EEST","Medical devices","Software engineer","Assembly;C","9","4","4","3","4","5","3","4","4","3","3","4","3","4","4","3","3","3","Yes","","2","3","4","3","",""
"2025/05/14 8:46:08 am EEST","Aerospace;Automotive;Consumer electronics;IoT / Edge Computing","Software engineer","Assembly;C;C++;Lua;Python / MicroPython","5","3","4","1","4","4","3","4","4","3","4","2","4","3","5","3","3","4","Yes","","2","4","4","4","",""
"2025/05/14 9:14:21 am EEST","Metering","Software engineer","Assembly;C;C++","9","2","3","3","2","2","2","3","3","4","4","5","4","3","4","3","3","4","No","Difficulty of integrating into existing codebase;Team unfamiliarity","2","4","4","4","",""
"2025/05/14 11:50:00 am EEST","Hobby","Both hard and software (firmware)","Assembly;C","10","1","1","1","1","2","1","1","1","1","1","1","3","3","2","1","1","3","No","Don't see the need for any of these languages. C can do all I need.","1","4","1","","","As a hobbyist things can be kept simple, but for professionals certification might be an issue. As someone who is now retired but started in the embedded world for musical instrument related equipment, real time behavior was important and assembly was the best way to get it done. Now with way faster hardware C is sufficient. Worked in different fields after that, but more application software related. Totally different world. Now back in embedded as a hobbyist."
"2025/05/14 11:50:38 am EEST","Computer networking","Software engineer","Assembly;C;C++","10","3","4","4","4","2","4","1","1","4","1","5","4","3","3","3","3","4","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Lack of mature toolchain;Team unfamiliarity","1","3","3","2","You didn't ask about portability to other hardware.  This was very important to us, with our system running on a bunch of different CPUs, as time went on, and sometimes multiple to ""many"" CPUs in one system.  Being able to stick with basically the same language and tools was critical, even though the vast majority of tools were maintained internally.

Support for ""data endian-ness"" turned out to be useful, especially in network-related code.

There were some experiments with microkernels and vendor-provided RTOS-like things.  In general, I don't think they went very well :-(

Version control, bug tracking, source code management, and ""release management"" turned out to be important, even when ... hated.

""Open Source software"" turned out to be quite a can of worms, eventually requiring a legal team to approve (or license) any usage of OSSW code from outside the company.  Licensing of commercial/proprietary software probably could have used better management as well.  (I don't know how many ""copies"" of V.42bis licenses we ended up with.  A lot, I think.)","There were questions about how much we worried about ""real time performance"", and my answers were uniformly ""not too much.""  That's because we were running a bare metal homebrew OS, and making it perform was part of OUR task, not something that would fail because of the development environment (C.)  When things needed more speed, we get a faster CPU.
(most answers based on ""large"" embedded systems with MPU (680xx, MIPS, PPC, i86, ARM) with significant external RAM/etc.)"
"2025/05/14 12:40:49 pm EEST","Telecoms","Software engineer","Assembly;C;C++","9","4","5","4","5","4","4","2","3","4","3","5","4","5","3","4","4","5","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Lack of mature toolchain;Team unfamiliarity","2","5","5","4","Cycle accurate simulation.",""
"2025/05/14 12:43:50 pm EEST","Professionnel Photography/Lighting","HW / SW engineer","Assembly;C","10","4","5","4","5","5","4","3","1","3","2","4","5","4","5","4","5","5","No","Fear of insufficient performance;Team unfamiliarity","1","3","1","","A better IDE, multiplatform, good debugging tool, support many programmer out of the box.",""
"2025/05/14 12:45:59 pm EEST","Medical devices","Hardware engineer","C","10","5","2","1","4","3","1","3","1","1","2","5","5","5","2","3","3","4","No","Fear of insufficient performance;Lack of mature toolchain","1","5","4","4","",""
"2025/05/14 1:13:41 pm EEST","Automotive;Industrial automation","Software engineer","C","9","3","2","3","2","4","2","2","3","3","2","5","5","4","3","3","4","3","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity","2","4","3","4","",""
"2025/05/14 1:48:01 pm EEST","Aerospace;Automotive;Consumer electronics;Industrial automation;IoT / Edge Computing","Software engineer","Ada;Assembly;C","10","4","5","4","5","5","5","4","3","1","5","1","5","4","4","1","3","4","Yes","Fear of insufficient performance;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity","1","5","5","5","",""
"2025/05/14 2:21:34 pm EEST","Industrial automation","Hardware engineer","C","10","3","2","1","5","1","3","3","1","4","5","5","4","3","3","5","2","4","No","Fear of insufficient performance;Team unfamiliarity","1","5","1","","",""
"2025/05/14 2:50:39 pm EEST","Automotive","Software engineer","C","10","4","5","3","5","5","4","4","5","4","4","5","5","4","3","2","4","4","No","Certification concerns;Difficulty of integrating into existing codebase;Team unfamiliarity","1","4","5","4","",""
"2025/05/14 4:01:11 pm EEST","IoT / Edge Computing","Software engineer","C;C++;Python / MicroPython","9","3","1","1","5","4","3","2","1","1","3","3","3","4","3","2","1","1","No","Team unfamiliarity","1","5","1","","",""
"2025/05/14 4:30:54 pm EEST","IMS","Software engineer","C++","8","4","2","4","4","1","3","1","1","4","3","3","3","3","3","3","3","4","No","Difficulty of integrating into existing codebase","1","4","4","4","",""
"2025/05/14 6:32:20 pm EEST","IoT / Edge Computing","Software engineer","C++","10","5","1","1","1","1","3","5","1","4","3","1","3","5","4","5","5","5","No","Difficulty of integrating into existing codebase;Team unfamiliarity","2","4","1","","",""
"2025/05/14 7:29:31 pm EEST","IoT / Edge Computing","Software engineer","C;C++;Rust","3","4","4","3","5","4","4","5","3","5","5","4","4","4","4","4","4","5","Yes","","4","2","3","3","power usage diagnostics, stats for light/deep sleep of e.g. esp32",""
"2025/05/14 7:54:29 pm EEST","Consumer electronics","Hardware engineer","Assembly;C;C++","9","5","3","1","5","1","1","2","1","3","3","2","4","5","1","5","2","3","No","Fear of insufficient performance;Team unfamiliarity","2","5","1","","",""
"2025/05/14 8:04:16 pm EEST","IoT / Edge Computing;Medical devices","Software engineer","C;Python / MicroPython;Basic","9","1","1","1","2","1","4","3","1","5","5","1","1","1","5","4","1","3","No","Insufficient libraries/driver support;Team unfamiliarity","2","3","1","","memory leak checker",""
"2025/05/14 8:59:21 pm EEST","Industrial automation","Software engineer","C;C++;Rust","10","4","3","1","3","3","1","1","1","2","3","3","4","4","2","2","4","4","Yes","","2","4","3","3","",""
"2025/05/14 9:32:38 pm EEST","Automotive;Consumer electronics;Industrial automation","Software engineer","Assembly;C;C++","9","5","4","2","5","5","5","4","1","3","3","3","3","4","1","1","1","3","No","No significant benefits","1","3","2","3","Well integrated documentation for tools (compiler, IDE) and supported hardware. No limited term license or cloud services.",""
"2025/05/14 11:09:59 pm EEST","Aerospace;Automotive;Consumer electronics;IoT / Edge Computing","System architect","Assembly;C;C++;Python / MicroPython;Rust;Zig","9","5","4","2","4","5","3","4","3","2","4","3","5","4","3","3","5","4","Yes","","5","4","3","3","",""
"2025/05/15 1:17:07 am EEST","Open Source","Software engineer","Assembly;C;C++","10","3","4","3","3","4","3","3","3","3","4","5","5","4","5","5","4","4","Yes","Difficulty of integrating into existing codebase;Fear of insufficient performance;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity;Yes, I have used it and scrapped it for these reasons. It was a mess.","1","3","5","4","Better simulators to develop natively on desktops.",""
"2025/05/15 1:31:07 am EEST","Consumer electronics;IoT / Edge Computing","System architect","Assembly;C;C++","9","1","2","2","1","5","3","5","2","3","3","5","4","1","3","3","3","4","No","Resourse constraints","2","3","3","3","",""
"2025/05/15 5:02:03 am EEST","Industrial automation","Software engineer","C;Assembler","10","4","4","3","4","5","5","3","2","3","2","5","4","4","5","2","4","4","No","Difficulty of integrating into existing codebase;Team unfamiliarity","2","4","5","4","",""
"2025/05/15 12:29:28 pm EEST","Industrial automation","Software engineer","Assembly;C;C++;Python / MicroPython;Rust","9","5","2","1","2","4","2","1","1","2","1","2","4","4","3","3","1","4","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity","2","5","1","","",""
"2025/05/15 1:29:42 pm EEST","Industrial automation;IoT / Edge Computing;Medical devices","System architect","Assembly;C;C++;Python / MicroPython","9","4","4","4","5","3","4","5","5","4","5","5","5","3","4","4","4","4","Yes","","3","4","3","3","",""
"2025/05/15 8:36:45 pm EEST","Industrial automation","Hardware engineer","C++","10","4","3","1","5","2","2","3","2","2","2","1","4","4","4","3","1","4","No","Insufficient libraries/driver support;Team unfamiliarity","1","5","3","","Improved debugging support for c++",""
"2025/05/15 10:50:16 pm EEST","Consumer electronics","Hardware engineer","C;C++;Python / MicroPython;Rust","7","5","4","3","4","5","5","1","1","4","3","3","5","5","5","4","3","4","Yes","","5","3","2","2","",""
"2025/05/16 2:07:43 am EEST","Scientific Research Instrumentation","Hardware engineer","C;C++","10","4","4","3","5","2","5","1","1","3","3","5","5","4","4","4","2","4","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Team unfamiliarity","3","5","1","","",""
"2025/05/16 6:37:36 am EEST","Consumer electronics;IoT / Edge Computing;Medical devices","System architect","C;C++;Python / MicroPython","10","5","5","3","5","3","5","5","5","3","4","5","5","5","5","4","5","5","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Team unfamiliarity","1","5","3","3","",""
"2025/05/16 8:07:56 am EEST","Software Development","Software engineer","Oberon","1","5","3","1","1","1","1","1","1","1","1","1","5","5","5","1","1","5","No","Satisfied with existing tools no nee to look elsewhere","3","1","1","","I am the tool creator (Astrobe IDE, Oberon language) so it's not relevant","Th Astrobe website is at www.astrobe.com. It has been in use since 2008."
"2025/05/16 9:24:18 am EEST","Industrial automation","Hardware engineer","C","10","4","3","1","4","4","4","4","1","2","3","5","5","5","2","3","4","4","No","Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity","1","4","3","3","",""
"2025/05/16 12:08:20 pm EEST","Consumer electronics;Industrial automation;IoT / Edge Computing","Hardware engineer","C","10","4","2","1","5","4","2","3","1","2","2","5","5","5","3","4","4","4","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity;Makes no sense to waste time in something which is 99% likely unnecessary hype, does not solve actual problems, solves non-problems, and introduces new problems, only to be forgotten in 1-2 more years like happened to Rust already","1","4","2","4","KISS principle, self-made tooling for the actual requirements of the project.",""
"2025/05/17 3:09:23 am EEST","Consumer electronics;Industrial automation;Medical devices","Hardware engineer","Ada;Assembly;C;Python / MicroPython","9","5","3","2","3","5","1","5","1","3","1","5","5","5","1","1","1","1","No","Team unfamiliarity","1","4","1","","Debugging without affecting realtime performance ","Most products I work on are on low end, low power microcontrollers "
"2025/05/17 3:17:32 pm EEST","Automotive;Industrial automation","System architect","Assembly;C;C++","10","5","5","5","5","5","2","2","1","5","5","5","5","5","2","5","5","5","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity;I want my code to build and work the same after 30 years.","1","4","2","1","Proper preprocessor. The biggest pain in C in embedded is #if def and hardware variants.","My devices sells on thousands. Setting up production costs thousands. IC performance and hardware redesign equals money. Any GC or script language is out of question. Any feature that executes outside of mcu is very welcome, like preprocessor, static analysis, unit testing, debugging, hot reload etc. But the release build must go BRRRR"
"2025/05/17 8:29:42 pm EEST","Consumer electronics","Hardware engineer","C++","10","3","1","1","4","3","1","1","1","2","1","2","3","3","2","2","1","1","No","Difficulty of integrating into existing codebase","3","4","2","2","",""
"2025/05/18 4:39:55 am EEST","Industrial automation","Hardware engineer","C;C++","1","3","1","1","5","3","2","4","1","3","3","5","5","3","3","5","5","5","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Lack of mature toolchain;Team unfamiliarity","1","4","1","","Long term stability",""
"2025/05/18 7:56:23 am EEST","Industrial automation;IoT / Edge Computing","System architect","C;C++","6","2","2","1","1","1","3","1","1","2","4","3","5","5","4","3","4","3","No","Team unfamiliarity","3","5","3","3","",""
"2025/05/18 12:28:03 pm EEST","Automotive;IoT / Edge Computing;Medical devices","Software engineer","Assembly;C;C++","10","5","4","3","5","4","2","3","3","3","3","4","3","5","2","1","3","3","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Insufficient libraries/driver support","1","3","2","","More significant evolution of C language features and standard library.","Software development is an engineering discipline and should be treated like that - not like the current bohemian random art and witchcraft. Universities have to step up the systemic education of an actually capable developers, not just teach the basics of computer science."
"2025/05/18 8:55:04 pm EEST","Consumer electronics","Hardware engineer","C","10","1","1","1","1","1","1","1","3","1","1","5","5","5","3","1","3","5","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Lack of mature toolchain;Team unfamiliarity","1","5","2","3","documentation",""
"2025/05/18 9:58:11 pm EEST","Fabless semiconductor company","Software engineer","Assembly;C;C++","9","4","2","4","2","3","4","4","3","2","4","5","5","5","5","4","4","4","No","Difficulty of integrating into existing codebase;Lack of mature toolchain;Team unfamiliarity","2","4","3","3","",""
"2025/05/20 11:51:27 pm EEST","IoT / Edge Computing","Software engineer","Assembly;C","9","5","4","1","5","4","2","3","1","3","1","5","4","5","4","2","4","3","No","Lack of mature toolchain","1","4","4","3","",""
"2025/05/22 11:41:15 am EEST","Industrial automation;IoT / Edge Computing","Hardware engineer","C","10","1","4","5","4","4","2","5","4","4","2","4","5","5","3","1","1","4","No","Difficulty of integrating into existing codebase;Lack of mature toolchain;Team unfamiliarity","1","5","5","5","",""
"2025/05/22 11:32:42 pm EEST","Consumer electronics;IoT / Edge Computing;Medical devices","System architect","C;C++;C#","9","2","4","2","2","1","1","3","4","3","3","5","4","5","3","5","2","5","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Team unfamiliarity","2","5","1","","",""
"2025/05/24 9:49:01 pm EEST","Automotive;Consumer electronics;IoT / Edge Computing;Medical devices","Software engineer","Assembly;C;C++;Lua;Python / MicroPython;Starlark","6","3","2","3","3","3","3","2","3","2","4","4","3","3","3","4","2","3","No","Certification concerns;Difficulty of integrating into existing codebase;Team unfamiliarity","1","4","4","3","",""
"2025/05/24 9:56:05 pm EEST","Industrial automation;IoT / Edge Computing","Hardware engineer","C;Python / MicroPython","9","2","1","3","1","3","2","2","1","2","4","5","5","4","3","3","1","4","No","Lack of mature toolchain","1","4","1","","","KI will significantly speed up MCU software development."
"2025/05/25 12:00:05 am EEST","Industrial automation;Medical devices","Software engineer","C;C++","10","5","4","2","4","3","2","2","4","1","1","4","4","5","2","2","3","3","No","Difficulty of integrating into existing codebase;Team unfamiliarity","2","5","3","3","a more reliable volatile checking functionality, so that I don't pull my hair out next time I forget to add one keyword to one single variable and turn my code into an undebuggable mess :)",""
"2025/05/25 7:40:51 am EEST","Industrial automation","Software engineer","Assembly;C;C++","10","2","2","3","2","3","2","3","4","1","1","3","5","4","4","1","1","1","No","Difficulty of integrating into existing codebase","2","4","4","3","",""
"2025/05/26 7:19:29 pm EEST","Consumer electronics","Hardware engineer","Assembly;Python / MicroPython","2","4","3","2","4","5","4","2","2","2","2","2","3","5","3","2","2","3","No","Fear of insufficient performance","1","2","1","","",""
"2025/05/27 12:06:39 am EEST","Medical devices","Hardware engineer","C++","6","2","2","2","1","2","2","1","1","1","5","5","5","5","5","3","1","3","No","Certification concerns","3","4","4","3","Right now not really",""
"2025/05/27 2:06:50 am EEST","Aerospace;IoT / Edge Computing","Software engineer","C;C++;Python / MicroPython","9","5","2","4","5","3","5","5","5","3","2","5","2","5","5","3","5","5","No","Team unfamiliarity;Lack of time - it is faster for me to write in C, especially when there is many projects in a backlog","2","5","4","3","",""
"2025/05/27 1:19:15 pm EEST","IoT / Edge Computing","System architect","C;C++","10","3","4","2","2","4","3","4","3","3","2","3","3","3","3","2","3","3","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Lack of mature toolchain","1","4","1","","",""
"2025/05/27 4:32:38 pm EEST","Consumer electronics;IoT / Edge Computing","Software engineer","C","9","4","5","4","5","2","5","1","1","5","1","5","5","5","5","1","3","1","No","Certification concerns;Difficulty of integrating into existing codebase","1","5","5","5","No","No"
"2025/05/27 9:43:39 pm EEST","Wireless charging","Software engineer","Assembly;C","9","5","3","2","5","4","5","1","4","4","2","5","4","5","4","2","2","4","No","Difficulty of integrating into existing codebase;Lack of mature toolchain","3","5","3","3","C/asm",""
"2025/05/28 12:04:08 am EEST","IoT / Edge Computing","Software engineer","C;Python / MicroPython","10","4","1","5","5","3","5","1","4","4","4","4","5","5","5","5","4","4","No","Team unfamiliarity;no need to","1","2","4","2","new build system / tools. Make and CMake are super hard to understand and learn - for me","let's go C99, it's like ipv4. We know it's not perfect, but we know all drawbacks of it and how to prevent them from occuring"
"2025/05/29 11:19:04 am EEST","Consumer electronics;IoT / Edge Computing","Software engineer","C;C++;Python / MicroPython","9","2","2","2","4","5","4","3","1","1","4","4","4","2","2","1","1","1","No","Difficulty of integrating into existing codebase;Team unfamiliarity","1","4","2","3","",""
"2025/06/01 1:59:25 pm EEST","Industrial automation","Software engineer","Assembly;C","8","2","3","1","4","1","1","2","5","4","4","2","4","2","2","1","1","2","No","Team unfamiliarity","1","3","3","2","Porting software on different variant microcontroller and compiling issue same code with differet PC but same development tools",""
"2025/06/02 4:47:40 pm EEST","Consumer electronics","Software engineer","C;C++","9","4","2","1","4","1","1","1","1","3","4","3","3","3","3","4","3","4","No","Difficulty of integrating into existing codebase;Team unfamiliarity","3","4","1","","",""
"2025/07/09 7:50:37 pm EEST","Consumer electronics","Hardware engineer","C;C++","10","5","5","1","5","2","4","2","1","3","2","5","5","5","3","4","3","5","Yes","Lack of mature toolchain","3","5","2","3","",""
